==119209== NVPROF is profiling process 119209, command: ./Release/ssai-2dstencil
==119209== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==119209== Profiling application: ./Release/ssai-2dstencil
==119209== Profiling result:
==119209== Event result:
Invocations                                Event Name         Min         Max         Avg       Total
Device "Tesla V100-SXM2-16GB (0)"
    Kernel: void stencil2d_121pt::j2d121pt<double, int=128, int=8>(double const *, stencil2d_121pt::j2d121pt<double, int=128, int=8>*, int, int)
          1                             flop_count_sp                      Floating Point Operations(Single Precision)           0           0           0
          1                         flop_count_sp_add                  Floating Point Operations(Single Precision Add)           0           0           0
          1                         flop_count_sp_fma                  Floating Point Operations(Single Precision FMA)           0           0           0
          1                         flop_count_sp_mul                   Floating Point Operation(Single Precision Mul)           0           0           0
          1                     flop_count_sp_special              Floating Point Operations(Single Precision Special)           0           0           0
          1                             inst_executed                                            Instructions Executed   606730240   606730240   606730240
          1                               inst_issued                                              Instructions Issued   503919902   503919902   503919902
          1                          dram_utilization                                        Device Memory Utilization     Mid (5)     Mid (5)     Mid (5)
          1                        sysmem_utilization                                        System Memory Utilization     Low (1)     Low (1)     Low (1)
          1                          stall_inst_fetch                         Issue Stall Reasons (Instructions Fetch)       7.92%       7.92%       7.92%
          1                     stall_exec_dependency                       Issue Stall Reasons (Execution Dependency)      20.35%      20.35%      20.35%
          1                   stall_memory_dependency                               Issue Stall Reasons (Data Request)       2.27%       2.27%       2.27%
          1                             stall_texture                                    Issue Stall Reasons (Texture)       0.00%       0.00%       0.00%
          1                                stall_sync                            Issue Stall Reasons (Synchronization)       0.00%       0.00%       0.00%
          1                               stall_other                                      Issue Stall Reasons (Other)       0.69%       0.69%       0.69%
          1          stall_constant_memory_dependency                         Issue Stall Reasons (Immediate constant)       0.17%       0.17%       0.17%
          1                           stall_pipe_busy                                  Issue Stall Reasons (Pipe Busy)      51.06%      51.06%      51.06%
          1                         shared_efficiency                                         Shared Memory Efficiency       0.00%       0.00%       0.00%
          1                                inst_fp_32                                          FP Instructions(Single)           0           0           0
          1                                inst_fp_64                                          FP Instructions(Double)  1.1831e+10  1.1831e+10  1.1831e+10
          1                              inst_integer                                             Integer Instructions  1579063680  1579063680  1579063680
          1                          inst_bit_convert                                         Bit-Convert Instructions           0           0           0
          1                              inst_control                                        Control-Flow Instructions    12320768    12320768    12320768
          1                        inst_compute_ld_st                                          Load/Store Instructions   287113216   287113216   287113216
          1                                 inst_misc                                                Misc Instructions   269073760   269073760   269073760
          1           inst_inter_thread_communication                                        Inter-Thread Instructions  1955594240  1955594240  1955594240
          1                               issue_slots                                                      Issue Slots   503919902   503919902   503919902
          1                                 cf_issued                                 Issued Control-Flow Instructions     2679808     2679808     2679808
          1                               cf_executed                               Executed Control-Flow Instructions     2679808     2679808     2679808
          1                               ldst_issued                                   Issued Load/Store Instructions    71813120    71813120    71813120
          1                             ldst_executed                                 Executed Load/Store Instructions    71813120    71813120    71813120
          1                       atomic_transactions                                              Atomic Transactions           0           0           0
          1           atomic_transactions_per_request                                  Atomic Transactions Per Request    0.000000    0.000000    0.000000
          1                      l2_atomic_throughput                                  L2 Throughput (Atomic requests)  0.00000B/s  0.00000B/s  0.00000B/s
          1                    l2_atomic_transactions                                L2 Transactions (Atomic requests)           0           0           0
          1                  l2_tex_read_transactions                                  L2 Transactions (Texture Reads)    45042792    45042792    45042792
          1                     stall_memory_throttle                            Issue Stall Reasons (Memory Throttle)       0.20%       0.20%       0.20%
          1                        stall_not_selected                               Issue Stall Reasons (Not Selected)      17.33%      17.33%      17.33%
          1                 l2_tex_write_transactions                                 L2 Transactions (Texture Writes)    18300928    18300928    18300928
          1             nvlink_total_data_transmitted                                    NVLink Total Data Transmitted         384         384         384
          1                nvlink_total_data_received                                       NVLink Total Data Received         288         288         288
          1              nvlink_user_data_transmitted                                     NVLink User Data Transmitted           0           0           0
          1                 nvlink_user_data_received                                        NVLink User Data Received           0           0           0
          1          nvlink_overhead_data_transmitted                                 NVLink Overhead Data Transmitted     100.00%     100.00%     100.00%
          1             nvlink_overhead_data_received                                    NVLink Overhead Data Received     100.00%     100.00%     100.00%
          1      nvlink_total_nratom_data_transmitted                             NVLink Total Nratom Data Transmitted           0           0           0
          1       nvlink_user_nratom_data_transmitted                              NVLink User Nratom Data Transmitted           0           0           0
          1       nvlink_total_ratom_data_transmitted                              NVLink Total Ratom Data Transmitted           0           0           0
          1        nvlink_user_ratom_data_transmitted                               NVLink User Ratom Data Transmitted           0           0           0
          1       nvlink_total_write_data_transmitted                              NVLink Total Write Data Transmitted           0           0           0
          1        nvlink_user_write_data_transmitted                               NVLink User Write Data Transmitted           0           0           0
          1                nvlink_transmit_throughput                                       NVLink Transmit Throughput  117.83KB/s  117.83KB/s  117.83KB/s
          1                 nvlink_receive_throughput                                        NVLink Receive Throughput  88.374KB/s  88.374KB/s  88.373KB/s
          1       nvlink_total_response_data_received                              NVLink Total Response Data Received          96          96          96
          1        nvlink_user_response_data_received                               NVLink User Response Data Received           0           0           0
          1                             flop_count_hp                        Floating Point Operations(Half Precision)           0           0           0
          1                         flop_count_hp_add                    Floating Point Operations(Half Precision Add)           0           0           0
          1                         flop_count_hp_mul                     Floating Point Operation(Half Precision Mul)           0           0           0
          1                         flop_count_hp_fma                    Floating Point Operations(Half Precision FMA)           0           0           0
          1                                inst_fp_16                                            HP Instructions(Half)           0           0           0
          1                                       ipc                                                     Executed IPC    1.297451    1.297451    1.297451
          1                                issued_ipc                                                       Issued IPC    1.297723    1.297723    1.297723
          1                    issue_slot_utilization                                           Issue Slot Utilization      32.44%      32.44%      32.44%
          1                             sm_efficiency                                          Multiprocessor Activity      99.78%      99.78%      99.78%
          1                        achieved_occupancy                                               Achieved Occupancy    0.522120    0.522120    0.522120
          1                  eligible_warps_per_cycle                                  Eligible Warps Per Active Cycle    6.499025    6.499025    6.499025
          1                        shared_utilization                                        Shared Memory Utilization    Idle (0)    Idle (0)    Idle (0)
          1                            l2_utilization                                             L2 Cache Utilization     Low (2)     Low (2)     Low (2)
          1                           tex_utilization                                        Unified Cache Utilization     Low (3)     Low (3)     Low (3)
          1                       ldst_fu_utilization                             Load/Store Function Unit Utilization     Low (2)     Low (2)     Low (2)
          1                         cf_fu_utilization                           Control-Flow Function Unit Utilization     Low (1)     Low (1)     Low (1)
          1                        tex_fu_utilization                                Texture Function Unit Utilization    Idle (0)    Idle (0)    Idle (0)
          1                    special_fu_utilization                                Special Function Unit Utilization    Idle (0)    Idle (0)    Idle (0)
          1             half_precision_fu_utilization                         Half-Precision Function Unit Utilization    Idle (0)    Idle (0)    Idle (0)
          1           single_precision_fu_utilization                       Single-Precision Function Unit Utilization     Low (1)     Low (1)     Low (1)
          1           double_precision_fu_utilization                       Double-Precision Function Unit Utilization    Max (10)    Max (10)    Max (10)
          1                        flop_hp_efficiency                                       FLOP Efficiency(Peak Half)       0.00%       0.00%       0.00%
          1                        flop_sp_efficiency                                     FLOP Efficiency(Peak Single)       0.00%       0.00%       0.00%
          1                        flop_dp_efficiency                                     FLOP Efficiency(Peak Double)      95.02%      95.02%      95.02%
          1                   sysmem_read_utilization                                   System Memory Read Utilization    Idle (0)    Idle (0)    Idle (0)
          1                  sysmem_write_utilization                                  System Memory Write Utilization     Low (1)     Low (1)     Low (1)
          1       nvlink_data_transmission_efficiency                              NVLink Data Transmission Efficiency       0.00%       0.00%       0.00%
          1            nvlink_data_receive_efficiency                                   NVLink Data Receive Efficiency       0.00%       0.00%       0.00%
          1                            stall_sleeping                                   Issue Stall Reasons (Sleeping)       0.00%       0.00%       0.00%
          1               pcie_total_data_transmitted                                      PCIe Total Data Transmitted           0           0           0
          1                  pcie_total_data_received                                         PCIe Total Data Received           0           0           0
          1                inst_executed_global_loads                         Warp level instructions for global loads     6875136     6875136     6875136
          1                 inst_executed_local_loads                          Warp level instructions for local loads           0           0           0
          1                inst_executed_shared_loads                         Warp level instructions for shared loads           0           0           0
          1               inst_executed_surface_loads                        Warp level instructions for surface loads           0           0           0
          1               inst_executed_global_stores                        Warp level instructions for global stores     3055616     3055616     3055616
          1                inst_executed_local_stores                         Warp level instructions for local stores           0           0           0
          1               inst_executed_shared_stores                        Warp level instructions for shared stores           0           0           0
          1              inst_executed_surface_stores                       Warp level instructions for surface stores           0           0           0
          1              inst_executed_global_atomics             Warp level instructions for global atom and atom cas           0           0           0
          1           inst_executed_global_reductions                    Warp level instructions for global reductions           0           0           0
          1             inst_executed_surface_atomics            Warp level instructions for surface atom and atom cas           0           0           0
          1          inst_executed_surface_reductions                   Warp level instructions for surface reductions           0           0           0
          1              inst_executed_shared_atomics             Warp level shared instructions for atom and atom CAS           0           0           0
          1                     inst_executed_tex_ops                              Warp level instructions for texture           0           0           0
          1                           dram_read_bytes                           Total bytes read from DRAM to L2 cache   647658208   647658208   647658208
          1                          dram_write_bytes                        Total bytes written from L2 cache to DRAM   564339584   564339584   564339584
          1                      global_load_requests         Total number of global load requests from Multiprocessor     6875136     6875136     6875136
          1                       local_load_requests          Total number of local load requests from Multiprocessor           0           0           0
          1                     surface_load_requests        Total number of surface load requests from Multiprocessor           0           0           0
          1                     global_store_requests        Total number of global store requests from Multiprocessor     3055616     3055616     3055616
          1                      local_store_requests         Total number of local store requests from Multiprocessor           0           0           0
          1                    surface_store_requests       Total number of surface store requests from Multiprocessor           0           0           0
          1                    global_atomic_requests       Total number of global atomic requests from Multiprocessor           0           0           0
          1                 global_reduction_requests    Total number of global reduction requests from Multiprocessor           0           0           0
          1                   surface_atomic_requests      Total number of surface atomic requests from Multiprocessor           0           0           0
          1                surface_reduction_requests   Total number of surface reduction requests from Multiprocessor           0           0           0
          1                      l2_global_load_bytes             Bytes read from L2 for misses in L1 for global loads  1390277856  1390277856  1390277856
          1                       l2_local_load_bytes              Bytes read from L2 for misses in L1 for local loads           0           0           0
          1                     l2_surface_load_bytes            Bytes read from L2 for misses in L1 for surface loads           0           0           0
          1              l2_global_atomic_store_bytes                   Bytes written to L2 from L1 for global atomics           0           0           0
          1               l2_local_global_store_bytes         Bytes written to L2 from L1 for local and global stores.   585629696   585629696   585629696
          1                    l2_surface_store_bytes           Bytes read from L2 for misses in L1 for surface stores           0           0           0
          1                         sysmem_read_bytes                                         System Memory Read Bytes           0           0           0
          1                        sysmem_write_bytes                                        System Memory Write Bytes         160         160         160
          1                           l2_tex_hit_rate                                                L2 Cache Hit Rate      51.89%      51.89%      51.89%
          1                     texture_load_requests        Total number of texture Load requests from Multiprocessor           0           0           0
          1           tensor_precision_fu_utilization                       Tensor-Precision Function Unit Utilization    Idle (0)    Idle (0)    Idle (0)
